what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1328349413279
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1328349416263
activated,editor,org.eclipse.uml2.uml.editor,3.1.100.v201009281840,"org.eclipse.uml2.uml.editor.presentation.UMLEditorID",1328349426260
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1328349427534
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328349429689
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328349442113
activated,editor,org.eclipse.uml2.uml.editor,3.1.100.v201009281840,"org.eclipse.uml2.uml.editor.presentation.UMLEditorID",1328349442992
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1328349448028
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328349449358
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328349450586
activated,editor,org.eclipse.uml2.uml.editor,3.1.100.v201009281840,"org.eclipse.uml2.uml.editor.presentation.UMLEditorID",1328349452876
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1328349456293
activated,editor,org.eclipse.uml2.uml.editor,3.1.100.v201009281840,"org.eclipse.uml2.uml.editor.presentation.UMLEditorID",1328349466573
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1328349468230
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328349468654
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328349482667
activated,editor,org.eclipse.uml2.uml.editor,3.1.100.v201009281840,"org.eclipse.uml2.uml.editor.presentation.UMLEditorID",1328349483791
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1328349489474
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328349490298
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328349492374
activated,editor,org.eclipse.uml2.uml.editor,3.1.100.v201009281840,"org.eclipse.uml2.uml.editor.presentation.UMLEditorID",1328349493516
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328349494372
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328349494429
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328349494434
started,bundle,org.eclipse.wst.wsi.ui,1.0.502.v201104071820,"org.eclipse.wst.wsi.ui",1328349503135
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328349503157
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328349506152
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328349523904
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328349644375
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328349645182
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328349646872
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328349648376
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328349649428
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328349649544
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1328349649889
stopped,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1328349649890
stopped,bundle,org.eclipse.m2e.refactoring,1.0.100.20110804-1717,"org.eclipse.m2e.refactoring",1328349649890
stopped,bundle,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor",1328349649890
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.100.20110804-1717,"org.eclipse.m2e.editor.xml",1328349649890
stopped,bundle,org.eclipse.m2e.jdt,1.0.100.20110804-1717,"org.eclipse.m2e.jdt",1328349649891
