what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328591547250
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328591547313
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328591549702
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328591564861
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328591576989
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328591593110
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1328591647033
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328591658123
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328591658180
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1328591666694
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328591668398
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1328591670629
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1328591677538
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328591682356
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328591722425
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328591726869
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328591728914
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328591756096
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1328591760415
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328591762592
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1328591763558
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328591769088
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328591769338
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328591794920
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328591801368
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328591805787
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328591807434
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328591821172
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328591847319
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328591917760
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328591924172
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328591924224
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328591935081
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328591949096
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328591973899
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328591980493
