what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328341608312
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328341807297
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1328341829217
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328341830247
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328341834482
activated,editor,org.eclipse.uml2.uml.editor,3.1.100.v201009281840,"org.eclipse.uml2.uml.editor.presentation.UMLEditorID",1328341869225
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1328341871209
activated,editor,org.eclipse.uml2.uml.editor,3.1.100.v201009281840,"org.eclipse.uml2.uml.editor.presentation.UMLEditorID",1328341875021
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1328341882784
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328341891311
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328341894280
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328341898081
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328341916418
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328341917843
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328341988013
activated,editor,org.eclipse.uml2.uml.editor,3.1.100.v201009281840,"org.eclipse.uml2.uml.editor.presentation.UMLEditorID",1328341989066
error,log,,,"Unhandled event loop exception",1328342013429
error,log,,,"Unhandled event loop exception",1328342015033
error,log,,,"Unhandled event loop exception",1328342016894
error,log,,,"Unhandled event loop exception",1328342021232
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1328342049676
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328342051805
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328342053524
activated,editor,org.eclipse.uml2.uml.editor,3.1.100.v201009281840,"org.eclipse.uml2.uml.editor.presentation.UMLEditorID",1328342061085
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1328342069794
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328342073065
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328342094736
activated,editor,org.eclipse.uml2.uml.editor,3.1.100.v201009281840,"org.eclipse.uml2.uml.editor.presentation.UMLEditorID",1328342095368
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1328342105684
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328342108506
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328342125451
activated,editor,org.eclipse.uml2.uml.editor,3.1.100.v201009281840,"org.eclipse.uml2.uml.editor.presentation.UMLEditorID",1328342126780
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1328342134288
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328342135395
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328342161071
activated,editor,org.eclipse.uml2.uml.editor,3.1.100.v201009281840,"org.eclipse.uml2.uml.editor.presentation.UMLEditorID",1328342162323
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328342169277
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328342169823
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328342170156
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328342185617
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1328342197864
activated,editor,org.eclipse.uml2.uml.editor,3.1.100.v201009281840,"org.eclipse.uml2.uml.editor.presentation.UMLEditorID",1328342211725
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1328342217816
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328342218653
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328342233534
activated,editor,org.eclipse.uml2.uml.editor,3.1.100.v201009281840,"org.eclipse.uml2.uml.editor.presentation.UMLEditorID",1328342234959
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328342246978
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328342267888
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1328342275502
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328342278921
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328342293885
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328342297008
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328342300135
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328342301252
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328342303398
activated,editor,org.eclipse.uml2.uml.editor,3.1.100.v201009281840,"org.eclipse.uml2.uml.editor.presentation.UMLEditorID",1328342311725
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328342312381
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328342345209
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328342373879
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328342524344
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1328342537172
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328342539739
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328342540454
activated,editor,org.eclipse.uml2.uml.editor,3.1.100.v201009281840,"org.eclipse.uml2.uml.editor.presentation.UMLEditorID",1328342544155
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1328342636362
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328342642137
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328342674522
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328342679707
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328342680917
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328342692444
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328342694109
activated,editor,org.eclipse.uml2.uml.editor,3.1.100.v201009281840,"org.eclipse.uml2.uml.editor.presentation.UMLEditorID",1328342694125
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1328342717209
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328342718285
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328342720098
activated,editor,org.eclipse.uml2.uml.editor,3.1.100.v201009281840,"org.eclipse.uml2.uml.editor.presentation.UMLEditorID",1328342720115
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328342722095
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328342723064
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328342723651
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328342783872
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328342785240
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328342786194
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328342788060
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328342819291
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328342834918
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328342836152
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328342837709
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328342845104
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1328342848521
activated,editor,org.eclipse.uml2.uml.editor,3.1.100.v201009281840,"org.eclipse.uml2.uml.editor.presentation.UMLEditorID",1328342854921
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328342888938
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328342889770
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328342890173
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328342895704
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1328342910932
activated,editor,org.eclipse.uml2.uml.editor,3.1.100.v201009281840,"org.eclipse.uml2.uml.editor.presentation.UMLEditorID",1328342920414
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1328342930355
activated,editor,org.eclipse.uml2.uml.editor,3.1.100.v201009281840,"org.eclipse.uml2.uml.editor.presentation.UMLEditorID",1328342934919
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1328342937253
activated,editor,org.eclipse.uml2.uml.editor,3.1.100.v201009281840,"org.eclipse.uml2.uml.editor.presentation.UMLEditorID",1328342942586
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1328342962047
activated,editor,org.eclipse.uml2.uml.editor,3.1.100.v201009281840,"org.eclipse.uml2.uml.editor.presentation.UMLEditorID",1328342967866
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1328342986539
activated,editor,org.eclipse.uml2.uml.editor,3.1.100.v201009281840,"org.eclipse.uml2.uml.editor.presentation.UMLEditorID",1328342989454
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328342990694
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328342990753
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328342990759
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328342991706
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328342993825
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328342994273
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328343002549
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1328343021208
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328343022180
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328343023408
activated,editor,org.eclipse.uml2.uml.editor,3.1.100.v201009281840,"org.eclipse.uml2.uml.editor.presentation.UMLEditorID",1328343024928
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1328343026585
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328343027217
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328343027997
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328343028013
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328343030804
activated,editor,org.eclipse.uml2.uml.editor,3.1.100.v201009281840,"org.eclipse.uml2.uml.editor.presentation.UMLEditorID",1328343031860
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328343032603
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328343032664
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328343032671
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328343036568
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328343048475
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1328343049954
activated,editor,org.eclipse.uml2.uml.editor,3.1.100.v201009281840,"org.eclipse.uml2.uml.editor.presentation.UMLEditorID",1328343057425
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328343071270
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328343116815
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1328343135809
activated,editor,org.eclipse.uml2.uml.editor,3.1.100.v201009281840,"org.eclipse.uml2.uml.editor.presentation.UMLEditorID",1328343146102
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1328343148006
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328343149733
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328343156645
activated,editor,org.eclipse.uml2.uml.editor,3.1.100.v201009281840,"org.eclipse.uml2.uml.editor.presentation.UMLEditorID",1328343157123
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1328343189428
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328343190113
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328343191494
activated,editor,org.eclipse.uml2.uml.editor,3.1.100.v201009281840,"org.eclipse.uml2.uml.editor.presentation.UMLEditorID",1328343197989
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1328343213906
activated,editor,org.eclipse.uml2.uml.editor,3.1.100.v201009281840,"org.eclipse.uml2.uml.editor.presentation.UMLEditorID",1328343220303
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1328343224285
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328343231607
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328343234588
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328343237121
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328343238060
activated,editor,org.eclipse.uml2.uml.editor,3.1.100.v201009281840,"org.eclipse.uml2.uml.editor.presentation.UMLEditorID",1328343238753
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1328343240984
activated,editor,org.eclipse.uml2.uml.editor,3.1.100.v201009281840,"org.eclipse.uml2.uml.editor.presentation.UMLEditorID",1328343243527
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328343244712
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328343244808
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328343244813
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1328343260289
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328343261415
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328343275730
activated,editor,org.eclipse.uml2.uml.editor,3.1.100.v201009281840,"org.eclipse.uml2.uml.editor.presentation.UMLEditorID",1328343276269
error,log,,,"Unhandled event loop exception",1328343280026
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1328343283243
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328343283971
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328343291531
activated,editor,org.eclipse.uml2.uml.editor,3.1.100.v201009281840,"org.eclipse.uml2.uml.editor.presentation.UMLEditorID",1328343291994
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1328343313510
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1328343321920
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1328343338964
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328343340880
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328343401211
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328343401948
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328343589912
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1328343641940
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328343674443
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328343675323
activated,editor,org.eclipse.uml2.uml.editor,3.1.100.v201009281840,"org.eclipse.uml2.uml.editor.presentation.UMLEditorID",1328343680519
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1328343697253
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328343700591
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328343701950
activated,editor,org.eclipse.uml2.uml.editor,3.1.100.v201009281840,"org.eclipse.uml2.uml.editor.presentation.UMLEditorID",1328343704191
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1328343715447
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1328343722428
activated,editor,org.eclipse.uml2.uml.editor,3.1.100.v201009281840,"org.eclipse.uml2.uml.editor.presentation.UMLEditorID",1328343726604
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1328343730288
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328343731945
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328343733199
activated,editor,org.eclipse.uml2.uml.editor,3.1.100.v201009281840,"org.eclipse.uml2.uml.editor.presentation.UMLEditorID",1328343735679
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1328343748599
activated,editor,org.eclipse.uml2.uml.editor,3.1.100.v201009281840,"org.eclipse.uml2.uml.editor.presentation.UMLEditorID",1328343750014
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1328343756608
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328343758536
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328343776759
activated,editor,org.eclipse.uml2.uml.editor,3.1.100.v201009281840,"org.eclipse.uml2.uml.editor.presentation.UMLEditorID",1328343778872
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1328343801794
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328343811815
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328343813174
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328343814458
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328343815818
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328343817015
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328343818639
activated,editor,org.eclipse.uml2.uml.editor,3.1.100.v201009281840,"org.eclipse.uml2.uml.editor.presentation.UMLEditorID",1328343823104
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1328343828033
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328343828494
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328343843038
activated,editor,org.eclipse.uml2.uml.editor,3.1.100.v201009281840,"org.eclipse.uml2.uml.editor.presentation.UMLEditorID",1328343846302
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1328343868559
activated,editor,org.eclipse.uml2.uml.editor,3.1.100.v201009281840,"org.eclipse.uml2.uml.editor.presentation.UMLEditorID",1328343870107
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1328343894647
activated,editor,org.eclipse.uml2.uml.editor,3.1.100.v201009281840,"org.eclipse.uml2.uml.editor.presentation.UMLEditorID",1328343905660
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1328343907355
