what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328612941628
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328612941737
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1328612943360
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1328612947210
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1328612950937
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1328612963476
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328612963539
closed,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1328612963539
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1328612965013
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328612967151
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1328612967946
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1328612969101
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328612970458
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328612975216
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1328612976947
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1328612978710
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1328612980582
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328612986900
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328613141191
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328613147884
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328613155552
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1328613158048
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328613164416
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328613166477
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328613168131
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328613173599
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1328613175892
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1328613181225
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.smartEnter",1328613187628
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1328613187924
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328613205069
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1328613207081
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328613213150
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328613215365
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328613223383
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328613233124
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328613245532
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328613246770
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.cleanAction",1328613246779
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328613255120
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328613255230
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328613262433
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328613273759
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328613281372
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328613303732
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328613306030
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1328613308183
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1328613324921
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1328613326045
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1328613327714
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328613337792
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328613337839
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1328613340023
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1328613341240
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1328613341458
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1328613341989
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1328613342348
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1328613342660
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1328613342909
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1328613344329
