what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328344688806
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328344900160
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1328344916925
activated,editor,org.eclipse.uml2.uml.editor,3.1.100.v201009281840,"org.eclipse.uml2.uml.editor.presentation.UMLEditorID",1328344921254
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1328344927823
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328344929035
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328344938236
activated,editor,org.eclipse.uml2.uml.editor,3.1.100.v201009281840,"org.eclipse.uml2.uml.editor.presentation.UMLEditorID",1328344939282
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328344940495
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328345043443
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1328345103921
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328345114178
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328345115288
activated,editor,org.eclipse.uml2.uml.editor,3.1.100.v201009281840,"org.eclipse.uml2.uml.editor.presentation.UMLEditorID",1328345118638
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1328345126646
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328345127712
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328345290670
activated,editor,org.eclipse.uml2.uml.editor,3.1.100.v201009281840,"org.eclipse.uml2.uml.editor.presentation.UMLEditorID",1328345291327
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1328345335664
activated,editor,org.eclipse.uml2.uml.editor,3.1.100.v201009281840,"org.eclipse.uml2.uml.editor.presentation.UMLEditorID",1328345341028
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1328345344064
activated,editor,org.eclipse.uml2.uml.editor,3.1.100.v201009281840,"org.eclipse.uml2.uml.editor.presentation.UMLEditorID",1328345347735
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1328345353793
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328345358596
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328345361559
activated,editor,org.eclipse.uml2.uml.editor,3.1.100.v201009281840,"org.eclipse.uml2.uml.editor.presentation.UMLEditorID",1328345362600
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1328345373176
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1328345375443
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1328345375959
error,log,,,"Unhandled event loop exception",1328345377487
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1328345379107
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1328345380239
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1328345382693
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328345392926
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328345397082
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328345398052
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328345400183
activated,editor,org.eclipse.uml2.uml.editor,3.1.100.v201009281840,"org.eclipse.uml2.uml.editor.presentation.UMLEditorID",1328345401463
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1328345408917
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1328345410446
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1328345413327
