what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1328423815533
started,bundle,org.eclipse.wst.validation,1.2.201.v201101270100,"org.eclipse.wst.validation",1328423815540
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1328423818645
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328423830516
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328423834399
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1328423834880
started,bundle,org.eclipse.wst.xml.core,1.1.503.v201102102045,"org.eclipse.wst.xml.core",1328423839910
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328423846056
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328423848308
opened,editor,org.eclipse.acceleo.ide.ui,3.0.2.v20110217-1127,"org.eclipse.acceleo.ide.ui.editors.template.AcceleoEditor",1328423848341
activated,editor,org.eclipse.acceleo.ide.ui,3.0.2.v20110217-1127,"org.eclipse.acceleo.ide.ui.editors.template.AcceleoEditor",1328423848379
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1328423850534
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1328423853754
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1328423853814
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1328423855567
activated,editor,org.eclipse.acceleo.ide.ui,3.0.2.v20110217-1127,"org.eclipse.acceleo.ide.ui.editors.template.AcceleoEditor",1328423855798
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1328423861665
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328423863961
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328423931756
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1328423947393
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1328423947451
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1328423952137
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1328423952904
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1328423952956
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1328423955848
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1328423955848
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1328423958676
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328423960367
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328423961819
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1328423961823
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328423968621
closed,editor,org.eclipse.acceleo.ide.ui,3.0.2.v20110217-1127,"org.eclipse.acceleo.ide.ui.editors.template.AcceleoEditor",1328423969972
error,log,,,"Resource '/org.eclipse.acceleo.module.sample/src/org/eclipse/acceleo/module/sample/files/generate.mtl' does not exist.",1328423969979
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328423969990
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1328423969996
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1328423969996
closed,editor,org.eclipse.acceleo.ide.ui,3.0.2.v20110217-1127,"org.eclipse.acceleo.ide.ui.editors.template.AcceleoEditor",1328423969997
error,log,,,"Resource '/org.eclipse.acceleo.module.sample/src/generate.mtl' does not exist.",1328423970000
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1328423970004
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1328423970032
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328423973379
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328423974542
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1328423974546
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1328423974546
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328423979119
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328423980372
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328423980473
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1328423980780
stopped,bundle,com.soyatec.database,3.7.1.20110624,"com.soyatec.database",1328423980784
stopped,bundle,com.soyatec.edepend,3.7.1.20110624,"com.soyatec.edepend",1328423980784
stopped,bundle,com.soyatec.eemf,3.7.1.20110624,"com.soyatec.eemf",1328423980784
stopped,bundle,com.soyatec.euml2,3.7.1.20110624,"com.soyatec.euml2",1328423980784
stopped,bundle,com.soyatec.project.diagram,3.7.1.20110624,"com.soyatec.project.diagram",1328423980784
stopped,bundle,com.soyatec.project,3.7.1.20110624,"com.soyatec.project",1328423980784
stopped,bundle,com.soyatec.additional,3.7.1.20110624,"com.soyatec.additional",1328423980784
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1328423980784
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20100601,"org.eclipse.pde.ds.ui",1328423980784
stopped,bundle,com.soyatec.core,3.7.1.20110624,"com.soyatec.core",1328423980784
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20100601,"org.eclipse.pde.runtime",1328423980784
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20100504,"org.eclipse.pde.ua.ui",1328423980784
stopped,bundle,org.eclipse.pde.ui.templates,3.4.200.v20100601,"org.eclipse.pde.ui.templates",1328423980784
stopped,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1328423980784
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1328423980784
stopped,bundle,org.eclipse.ant.launching,1.0.1.v20101020_r362,"org.eclipse.ant.launching",1328423980784
stopped,bundle,org.eclipse.compare.win32,1.0.101.R36x_v20101103-0618,"org.eclipse.compare.win32",1328423980784
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1328423980784
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1328423980784
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1328423980784
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1328423980784
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1328423980784
stopped,bundle,org.eclipse.acceleo.compatibility.ui,3.0.2.v20110217-1127,"org.eclipse.acceleo.compatibility.ui",1328423980784
stopped,bundle,org.eclipse.acceleo.ide.ui,3.0.2.v20110217-1127,"org.eclipse.acceleo.ide.ui",1328423980784
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1328423980784
stopped,bundle,com.soyatec.diagrams,3.7.1.20110624,"com.soyatec.diagrams",1328423980784
stopped,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1328423980791
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1328423980792
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.304.v201101251958,"org.eclipse.wst.xsd.ui",1328423980792
stopped,bundle,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui",1328423980792
stopped,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1328423980792
stopped,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1328423980792
