what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1328407422588
started,bundle,org.eclipse.wst.jsdt.ui,1.1.101.v201108151912,"org.eclipse.wst.jsdt.ui",1328407422590
started,bundle,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui",1328407422591
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1328407422616
started,bundle,org.eclipse.wst.wsdl.validation,1.1.502.v201104071820,"org.eclipse.wst.wsdl.validation",1328407422628
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1328407422641
started,bundle,org.datanucleus.ide.eclipse,3.0.1,"org.datanucleus.ide.eclipse",1328407422662
started,bundle,org.eclipse.uml2.common,1.6.0.v201105021727,"org.eclipse.uml2.common",1328407422671
started,bundle,org.eclipse.uml2.common.edit,1.5.0.v201005031530,"org.eclipse.uml2.common.edit",1328407422683
started,bundle,org.eclipse.uml2.uml,3.2.100.v201108110105,"org.eclipse.uml2.uml",1328407422690
started,bundle,org.eclipse.uml2.uml.edit,3.1.100.v201009281840,"org.eclipse.uml2.uml.edit",1328407422700
started,bundle,org.eclipse.uml2.uml.editor,3.1.100.v201009281840,"org.eclipse.uml2.uml.editor",1328407422700
os,sysinfo,,,"win32",1328407422703
arch,sysinfo,,,"x86_64",1328407422703
ws,sysinfo,,,"win32",1328407422703
locale,sysinfo,,,"en_US",1328407422703
processors,sysinfo,,,"8",1328407422703
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1328407422703
java.runtime.version,sysinfo,,,"1.7.0_02-b13",1328407422703
java.specification.name,sysinfo,,,"Java Platform API Specification",1328407422703
java.specification.vendor,sysinfo,,,"Oracle Corporation",1328407422703
java.specification.version,sysinfo,,,"1.7",1328407422703
java.vendor,sysinfo,,,"Oracle Corporation",1328407422703
java.version,sysinfo,,,"1.7.0_02",1328407422703
java.vm.info,sysinfo,,,"mixed mode",1328407422703
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1328407422703
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1328407422703
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1328407422703
java.vm.specification.version,sysinfo,,,"1.7",1328407422703
java.vm.vendor,sysinfo,,,"Oracle Corporation",1328407422703
java.vm.version,sysinfo,,,"22.0-b10",1328407422703
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1328407422724
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1328407422781
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328407422980
started,bundle,org.eclipse.team.svn.revision.graph,0.7.9.I20110318-1700,"org.eclipse.team.svn.revision.graph",1328407422983
