what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1328348015271
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328348016207
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328348021645
activated,editor,org.eclipse.uml2.uml.editor,3.1.100.v201009281840,"org.eclipse.uml2.uml.editor.presentation.UMLEditorID",1328348022357
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1328348026073
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1328348027258
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1328348029369
activated,editor,org.eclipse.uml2.uml.editor,3.1.100.v201009281840,"org.eclipse.uml2.uml.editor.presentation.UMLEditorID",1328348034737
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1328348040027
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1328348042192
activated,editor,org.eclipse.uml2.uml.editor,3.1.100.v201009281840,"org.eclipse.uml2.uml.editor.presentation.UMLEditorID",1328348053607
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1328348065465
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328348075963
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328348077637
activated,editor,org.eclipse.uml2.uml.editor,3.1.100.v201009281840,"org.eclipse.uml2.uml.editor.presentation.UMLEditorID",1328348083598
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1328348086476
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328348088257
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328348089023
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328348090811
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328348091756
activated,editor,org.eclipse.uml2.uml.editor,3.1.100.v201009281840,"org.eclipse.uml2.uml.editor.presentation.UMLEditorID",1328348093580
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1328348099423
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1328348102367
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1328348105615
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328348124547
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328348126107
activated,editor,org.eclipse.uml2.uml.editor,3.1.100.v201009281840,"org.eclipse.uml2.uml.editor.presentation.UMLEditorID",1328348131311
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1328348138930
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328348139720
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328348141244
activated,editor,org.eclipse.uml2.uml.editor,3.1.100.v201009281840,"org.eclipse.uml2.uml.editor.presentation.UMLEditorID",1328348143335
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1328348144663
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328348146360
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328348155487
activated,editor,org.eclipse.uml2.uml.editor,3.1.100.v201009281840,"org.eclipse.uml2.uml.editor.presentation.UMLEditorID",1328348156084
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1328348158047
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328348159360
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328348165994
activated,editor,org.eclipse.uml2.uml.editor,3.1.100.v201009281840,"org.eclipse.uml2.uml.editor.presentation.UMLEditorID",1328348171427
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1328348179898
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328348180663
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328348181913
activated,editor,org.eclipse.uml2.uml.editor,3.1.100.v201009281840,"org.eclipse.uml2.uml.editor.presentation.UMLEditorID",1328348183043
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1328348197687
activated,editor,org.eclipse.uml2.uml.editor,3.1.100.v201009281840,"org.eclipse.uml2.uml.editor.presentation.UMLEditorID",1328348223783
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1328348225628
